อุณหภูมิตั้งต้น,ความเข้มข้น,อุณหภูมิปลาย,เวลา
31,0,30,44
31,0,29,77
31,0,28,108
31,0,27,129
31,0,26,149
31,0,25,173
31,0,24,194
31,0,23,220
31,0,22,246
31,0,21,276
31,0,20,312
31,0,19,345
31,0,18,389
31,0,17,441
31,0,16,513
31,0,15,587
31,10,30,33
31,10,29,51
31,10,28,68
31,10,27,89
31,10,26,107
31,10,25,128
31,10,24,149
31,10,23,173
31,10,22,198
31,10,21,223
31,10,20,252
31,10,19,283
31,10,18,323
31,10,17,371
31,10,16,418
31,10,15,475
31,20,30,41
31,20,29,67
31,20,28,86
31,20,27,107
31,20,26,126
31,20,25,148
31,20,24,169
31,20,23,191
31,20,22,220
31,20,21,249
31,20,20,279
31,20,19,317
31,20,18,361
31,20,17,413
31,20,16,477
31,20,15,594
30,30,29,32
30,30,28,51
30,30,27,72
30,30,26,89
30,30,25,108
30,30,24,128
30,30,23,152
30,30,22,177
30,30,21,208
30,30,20,241
30,30,19,275
30,30,18,315
30,30,17,329
30,30,16,416
30,30,15,486
30,40,29,26
30,40,28,60
30,40,27,84
30,40,26,106
30,40,25,131
30,40,24,153
30,40,23,178
30,40,22,204
30,40,21,231
30,40,20,261
30,40,19,293
30,40,18,328
30,40,17,369
30,40,16,421
30,40,15,483
40,0,39,10
40,0,38,23
40,0,37,36
40,0,36,50
40,0,35,61
40,0,34,73
40,0,33,86
40,0,32,98
40,0,31,111
40,0,30,125
40,0,29,141
40,0,28,154
40,0,27,162
40,0,26,175
40,0,25,192
40,0,24,208
40,0,23,227
40,0,22,249
40,0,21,271
40,0,20,295
40,0,19,323
40,0,18,352
40,0,17,390
40,0,16,433
40,0,15,483
40,10,39,18
40,10,38,32
40,10,37,45
40,10,36,57
40,10,35,68
40,10,34,78
40,10,33,90
40,10,32,102
40,10,31,114
40,10,30,128
40,10,29,145
40,10,28,158
40,10,27,173
40,10,26,191
40,10,25,209
40,10,24,229
40,10,23,250
40,10,22,272
40,10,21,296
40,10,20,325
40,10,19,358
40,10,18,395
40,10,17,437
40,10,16,481
40,10,15,541
40,20,39,17
40,20,38,34
40,20,37,49
40,20,36,63
40,20,35,75
40,20,34,86
40,20,33,97
40,20,32,109
40,20,31,123
40,20,30,137
40,20,29,152
40,20,28,167
40,20,27,185
40,20,26,203
40,20,25,223
40,20,24,243
40,20,23,268
40,20,22,290
40,20,21,319
40,20,20,349
40,20,19,384
40,20,18,418
40,20,17,468
40,20,16,521
40,20,15,592
40,30,39,17
40,30,38,33
40,30,37,44
40,30,36,57
40,30,35,68
40,30,34,79
40,30,33,91
40,30,32,97
40,30,31,107
40,30,30,120
40,30,29,131
40,30,28,145
40,30,27,158
40,30,26,173
40,30,25,189
40,30,24,206
40,30,23,226
40,30,22,243
40,30,21,266
40,30,20,292
40,30,19,319
40,30,18,352
40,30,17,391
40,30,16,438
40,30,15,492
40,40,39,9
40,40,38,25
40,40,37,38
40,40,36,51
40,40,35,62
40,40,34,74
40,40,33,86
40,40,32,98
40,40,31,111
40,40,30,124
40,40,29,137
40,40,28,151
40,40,27,167
40,40,26,184
40,40,25,201
40,40,24,218
40,40,23,238
40,40,22,259
40,40,21,282
40,40,20,309
40,40,19,337
40,40,18,369
40,40,17,406
40,40,16,455
40,40,15,515
50,0,49,7
50,0,48,15
50,0,47,25
50,0,46,33
50,0,45,42
50,0,44,50
50,0,43,58
50,0,42,69
50,0,41,78
50,0,40,88
50,0,39,99
50,0,38,108
50,0,37,122
50,0,36,135
50,0,35,145
50,0,34,156
50,0,33,171
50,0,32,185
50,0,31,200
50,0,30,216
50,0,29,231
50,0,28,248
50,0,27,262
50,0,26,279
50,0,25,300
50,0,24,318
